Name,GENC,Area in Square Kilometers,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AF,652230,12122740,12749385,13079460,13421301,13772076,14132019,14501369,14880372,15269281,15555612,15044289,13676225,12582762,12439282,12768664,13119943,13125920,13056450,13168732,13502720,13568282,13671918,15023317,17003437,18486041,19445013,20110508,20769357,21451549,22205667,22461349,22507266,23599230,25003784,25695673,26332646,27152418,27385162,27703539,28480801,29116851,29752169,30412510,31098161,31809829,32547550,33310667,34097944,34907481,35739709,36594776,37466414,38346720,39232003
Bosnia and Herzegovina,BA,51187,3669000,3761000,3819000,3872000,3925000,3980000,4033000,4086000,4135000,4181000,4092000,4132963,4158688,4181892,4204488,4226764,4247288,4266650,4285510,4301804,4314951,4328421,4129132,3816557,3634966,3546650,3559087,3590694,3622228,3717233,3805513,3822358,3826638,3842734,3876894,3893098,3894411,3891846,3888950,3886939,3884835,3882129,3878827,3874948,3870503,3865491,3859923,3853839,3847289,3840279,3832751,3824782,3816459,3807764
Croatia,HR,55974,4200551,4215869,4225310,4234664,4245822,4255000,4286311,4318673,4349242,4379909,4383000,4390829,4413368,4430941,4441854,4457874,4471752,4484310,4493676,4501397,4508347,4540641,4490682,4478370,4499274,4480936,4445463,4424536,4399628,4387816,4390263,4418543,4442298,4440867,4441435,4441957,4440594,4437353,4434262,4428935,4417475,4403676,4389754,4375160,4356748,4335285,4313911,4292667,4271543,4250505,4229585,4208973,4188853,4169239
Iraq,IQ,437367,9105567,9732199,10061506,10401956,10753925,11117804,11493995,11882916,12317137,12768376,13232839,13703103,14173318,14652218,15160546,15693620,16247340,16543189,17073634,17627806,18207728,17544252,17934782,18478151,19043981,19633762,20243850,20868745,21507998,22165169,22839753,23534056,24309560,25079249,25829218,26637630,26813519,26534970,27077388,28136774,29072967,30094641,31447457,32911448,33992998,34813806,35580015,36345459,37164456,37998273,38828885,39650145,40462701,41266109
Lebanon,LB,10230,2320495,2447943,2513207,2578960,2645305,2692031,2721832,2757773,2800036,2848715,2901188,2954746,3009269,3064601,3120549,3176885,3232383,3285734,3336549,3384331,3451187,3518504,3561928,3600767,3637528,3672123,3704663,3735317,3764271,3791412,3834455,3894601,3955051,4015665,4076712,4138032,4221787,4332745,4421994,4472455,4489300,4508622,4608680,5145013,5878034,6179654,6232203,6223873,6093900,5841037,5463514,5261372,5296814,5331203
Libya,LY,1759540,1999162,2077381,2183877,2312369,2450747,2568090,2663767,2718837,2793329,2924513,3060429,3197888,3336396,3475276,3613956,3660030,3680901,3775716,3883238,3990977,4098435,4205118,4310510,4414050,4517088,4583908,4620889,4699892,4821438,4943111,5064358,5184567,5303093,5420940,5539363,5658181,5777140,5907828,6053544,6207609,6367346,6082221,5790189,5950347,6100968,6227706,6351165,6483076,6621675,6757971,6890637,7017224,7137931,7252573
Montenegro,ME,13452,510001,519914,527678,534461,542221,549000,554552,560073,565561,571018,560000,560090,562548,565705,558389,560562,564558,569473,574401,578981,583202,590872,621621,622526,623015,623521,623970,623786,623492,623269,622985,622684,621991,620914,620511,620641,620482,620495,621000,621968,622553,622433,622079,621603,620897,619723,618126,616284,614229,612064,609786,607414,604966,602445
North Macedonia,MK,25433,1574407,1596091,1617701,1639236,1661657,1684000,1706445,1727797,1747113,1768203,1792000,1808103,1823791,1831444,1837295,1844740,1850679,1856378,1858920,1863007,1861361,1867710,1889358,1917563,1935034,1954048,1971102,1984861,1995474,2005700,2017370,2029420,2038574,2045571,2051932,2057226,2061665,2065917,2069952,2074492,2079955,2084928,2089228,2094132,2099581,2105107,2110184,2114687,2118782,2122376,2125463,2128262,2130936,2133410
Rwanda,RW,24668,3656796,3880225,3992121,4109838,4226380,4356863,4502352,4657072,4818992,4975045,5137743,5307835,5486568,5674439,5856599,6025284,6218629,6448300,6692714,6934160,7140915,7312394,7496290,7823959,6128862,5384523,6479294,7563089,7896686,7986197,8047103,8163133,8329232,8477177,8660915,8842457,9035459,9266882,9501783,9705659,9923423,10200568,10505340,10831401,11148366,11375693,11603005,11899254,12184782,12458371,12709485,12943132,13173730,13400541
Serbia,RS,77474,7190213,7306432,7337520,7368646,7399811,7431015,7462259,7493541,7524862,7556223,7587622,7619061,7645035,7670692,7695799,7719700,7739838,7755901,7768887,7779555,7786398,7751782,7712023,7706119,7700801,7691301,7707801,7693801,7675301,7677156,7604338,7548379,7530751,7496449,7462421,7424559,7384820,7346025,7307359,7270195,7233391,7195769,7159029,7124084,7089319,7052916,7015855,6978391,6940138,6902768,6856660,6796857,6739471,6693375
Slovenia,SI,20151,1666805,1685624,1694510,1703373,1713184,1722000,1734454,1746919,1759395,1772854,1833000,1839256,1861252,1878555,1896413,1914220,1932129,1945870,1961775,1976217,1991210,1999480,1999210,1999925,2001035,2002826,2007428,2011611,2010805,2009651,2011242,2013323,2014637,2015611,2016922,2020477,2026870,2038124,2056915,2075268,2084182,2088442,2092758,2095552,2097579,2099131,2100372,2101369,2102031,2102381,2102452,2102106,2101208,2099790
Syria,SY,185887,6053891,6470607,6690884,6918660,7154189,7397736,7649575,7908868,8176690,8453581,8739849,9035810,9379757,9734673,10100847,10478546,10867866,11268554,11676074,12085350,12533628,12967853,13347357,13721787,14098874,14478520,14865707,15258081,15654697,16054627,16457434,16861448,17266066,17671578,18082580,18567721,19402732,20653852,21387154,21710990,22223250,22633830,22432681,21064653,19469277,18415482,17807789,17463180,17738965,18584688,19392460,20384316,21563800,22933531
Ukraine,UA,579330,46871405,47637239,48026627,48367002,48676939,48973428,49233524,49453675,49642987,49835012,50046649,50235677,50397455,50573066,50769375,50944248,51095072,51218101,51422963,51501478,51622275,51730360,51869138,51887206,51637842,51247738,50813392,50371404,49941236,49491190,49013834,48520343,48074073,47692440,47342447,47002642,46685257,46406827,46155640,45950761,45768171,45603516,45491540,45388613,44939342,44409198,44161657,43940088,43780461,43686413,43508029,43127334,38648861,34831102